Code,Category,Message
100,informational,Continue
101,informational,Switching Protocols
102,informational,Processing
103,informational,Early Hints
200,success,OK
201,success,Created
202,success,Accepted
203,success,Non-Authoritative Information
204,success,No Content
205,success,Reset Content
206,success,Partial Content
207,success,Multi-Status
208,success,Already Reported
226,success,IM Used
300,redirection,Multiple Choices
301,redirection,Moved Permanently
302,redirection,Found
303,redirection,See Other
304,redirection,Not Modified
305,redirection,Use Proxy
307,redirection,Temporary Redirect
308,redirection,Permanent Redirect
400,client error,Bad Request
401,client error,Unauthorized
402,client error,Payment Required
403,client error,Forbidden
404,client error,Not Found
405,client error,Method Not Allowed
406,client error,Not Acceptable
407,client error,Proxy Authentication Required
408,client error,Request Timeout
409,client error,Conflict
410,client error,Gone
411,client error,Length Required
412,client error,Precondition Failed
413,client error,Content Too Large
414,client error,URI Too Long
415,client error,Unsupported Media Type
416,client error,Range Not Satisfiable
417,client error,Expectation Failed
418,client error,I'm a teapot
421,client error,Misdirected Request
422,client error,Unprocessable Content
423,client error,Locked
424,client error,Failed Dependency
425,client error,Too Early
426,client error,Upgrade Required
428,client error,Precondition Required
429,client error,Too Many Requests
431,client error,Request Header Fields Too Large
451,client error,Unavailable For Legal Reasons
500,server error,Internal Server Error
501,server error,Not Implemented
502,server error,Bad Gateway
503,server error,Service Unavailable
504,server error,Gateway Timeout
505,server error,HTTP Version Not Supported
506,server error,Variant Also Negotiates
507,server error,Insufficient Storage
508,server error,Loop Detected
510,server error,Not Extended
511,server error,Network Authentication Required
